1,8,275,270,71A,5
2,5.2,230,210,71A,6.3
3,3.5,177,180,71A,8
4,17.5,275,590,90A,5
5,11.9,230,480,90A,6.3
6,6.9,177,360,90A,8
7,35.6,275,1200,112A,5
8,28.5,230,1150,112A,6.3
9,14.9,177,780,112A,8
10,69.8,275,2350,140A,5
11,53.3,230,2150,140A,6.3
12,40.2,177,2100,140A,8
13,142.5,275,4800,180A,5
14,270,291,8600,225A,5
15,1.8,137,119,80B,10
16,1.8,108,151,80B,12.5
17,1.8,90,181,80B,16
18,1.8,69,238,80B,20
19,1.8,57,285,80B,25
20,1.8,45,362,80B,31.5
21,1.8,38,434,80B,40
22,1.5,29,468,80B,50
23,1.1,22,444,80B,63
24,1.8,27,600,80C,50
25,1.5,22,599,80C,63
26,1.1,17,559,80C,80
27,1.1,13,736,80C,100
28,0.9,11,722,80C,125
29,0.55,9,561,80C,160
30,0.37,7,488,80C,200
31,0.37,6,585,80C,250
32,4,137,264,100B,10
33,4,108,337,100B,12.5
34,4,90,403,100B,16
35,4,69,528,100B,20
36,4,57,632,100B,25
37,4,45,805,100B,31.5
38,4,38,965,100B,40
39,3,29,936,100B,50
40,2.2,22,887,100B,63
41,1.8,27,593,100C,50
42,1.8,23,710,100C,63
43,1.8,17,904,100C,80
44,1.8,13,1184,100C,100
45,1.8,11,1418,100C,125
46,1.1,9,1103,100C,160
47,0.9,7,1167,100C,200
48,0.9,6,1399,100C,250
49,9.2,137,608,125B,10
50,9.2,108,774,125B,12.5
51,9.2,90,927,125B,16
52,9.2,69,1214,125B,20
53,9.2,57,1455,125B,25
54,9.2,45,1851,125B,31.5
55,9.2,38,2218,125B,40
56,5.5,29,1715,125B,50
57,5.5,22,2218,125B,63
58,4,27,1318,125C,50
59,4,23,1579,125C,63
60,4,17,2009,125C,80
61,4,13,2631,125C,100
62,3,11,2364,125C,125
63,2.2,9,2206,125C,160
64,1.8,7,2335,125C,200
65,1.8,6,2798,125C,250
66,22,137,1454,160B,10
67,22,108,1851,160B,12.5
68,22,90,2218,160B,16
69,22,69,2903,160B,20
70,22,57,3479,160B,25
71,22,45,4427,160B,31.5
72,18.5,38,4461,160B,40
73,11,29,3430,160B,50
74,9.2,22,3710,160B,63
75,9.2,27,3031,160C,50
76,9.2,23,3631,160C,63
77,9.2,17,4622,160C,80
78,7.5,13,4933,160C,100
79,5.5,11,4334,160C,125
80,4,9,4012,160C,160
81,4,7,5188,160C,200
82,3,6,4663,160C,250
83,22,173,1155,180B,8
84,22,135,1480,180B,10
85,22,112,1787,180B,12.5
86,22,87,2305,180B,16
87,22,68,2955,180B,20
88,22,56,3569,180B,25
89,22,45,4427,180B,31.5
90,22,40,5000,180B,40
91,9.2,26,3085,180C,50
92,9.2,22,3696,180C,63
93,9.2,18,4464,180C,80
94,9.2,15,5538,180C,100
95,9.2,11,7437,180C,125
96,7.5,9,7265,180C,160
97,5.5,7,6890,180C,200
98,4,6,6217,180C,250
99,30,168,1619,200B,8
100,30,140,1945,200B,10
101,30,114,2389,200B,12.5
102,30,84,3233,200B,16
103,30,70,3883,200B,20
104,30,57,4769,200B,25
105,30,47,5839,200B,31.5
106,22,33,5919,200C,40
107,22,27,7108,200C,50
108,22,22,8730,200C,63
109,22,18,10690,200C,80
110,15,14,9675,200C,100
111,11,11,8714,200C,125
112,11,9,10671,200C,160
