1,0.13,9,120,7.5,30
2,0.13,11,90,10,30
3,0.13,15,60,15,30
4,0.13,19,45,20,30
5,0.13,23,36,25,30
6,0.09,18,30,30,30
7,0.09,21,23,40,30
8,0.06,16,18,50,30
9,0.06,20,14,65,30
10,0.03,11,11,80,30
11,0.03,13,9,100,30
12,0.55,25,120,7.5,40
13,0.55,32,90,10,40
14,0.37,45,60,15,40
15,0.37,39,45,20,40
16,0.25,33,36,25,40
17,0.25,37,30,30,40
18,0.22,33,23,40,40
19,0.18,38,18,50,40
20,0.13,32,14,65,40
21,0.11,37,11,80,40
22,0.09,29,9,100,40
23,0.75,50,120,7.5,50
24,0.75,66,90,10,50
25,0.55,68,60,15,50
26,0.37,59,45,20,50
27,0.37,70,36,25,50
28,0.37,79,30,30,50
29,0.25,67,23,40,50
30,0.25,78,18,50,50
31,0.18,67,14,65,50
32,0.13,56,11,80,50
33,0.09,45,9,100,50
34,1.5,102,120,7.5,63
35,1.5,133,90,10,63
36,1.1,139,60,15,63
37,0.75,123,45,20,63
38,0.55,109,36,25,63
39,0.55,122,30,30,63
40,0.55,154,23,40,63
41,0.37,120,18,50,63
42,0.25,98,14,65,63
43,0.25,115,11,80,63
44,0.18,95,9,100,63
45,3,205,120,7.5,75
46,2.2,197,90,10,75
47,1.8,231,60,15,75
48,1.5,250,45,20,75
49,1.1,221,36,25,75
50,1.1,249,30,30,75
51,0.75,214,23,40,75
52,0.55,186,18,50,75
53,0.37,151,14,65,75
54,0.37,177,11,80,75
55,0.37,203,9,100,75
56,3,206,120,7.5,90
57,3,270,90,10,90
58,2.2,286,60,15,90
59,2.2,371,45,20,90
60,1.8,369,36,25,90
61,1.8,416,30,30,90
62,1.5,440,23,40,90
63,1.1,384,18,50,90
64,0.75,319,14,65,90
65,0.55,274,11,80,90
66,0.55,313,9,100,90
67,5.5,381,120,7.5,110
68,5.5,500,90,10,110
69,4,526,60,15,110
70,4,685,45,20,110
71,3,628,36,25,110
72,2.2,520,30,30,110
73,2.2,664,23,40,110
74,1.8,653,18,50,110
75,1.1,487,14,65,110
76,1.1,570,11,80,110
77,0.75,450,9,100,110
